Date,Price,Open,High,Low,Vol.,Change %
06/24/2023,1875,1891.98,1904.04,1865.77,239.37K,-0.90%
06/23/2023,1891.97,1872.29,1932.23,1864.6,428.03K,1.05%
06/22/2023,1872.32,1889.87,1931.6,1866.66,438.75K,-0.93%
06/21/2023,1889.87,1791.64,1899.11,1787.59,653.63K,5.48%
06/20/2023,1791.61,1737.06,1793.35,1715.2,359.77K,3.14%
06/19/2023,1737.06,1720.98,1748.05,1706.4,263.64K,0.93%
06/18/2023,1720.98,1727.79,1746.4,1715.9,167.46K,-0.39%
06/17/2023,1727.79,1717.92,1764.06,1714.3,227.93K,0.57%
06/16/2023,1717.92,1666.96,1728.35,1653.68,333.35K,3.06%
06/15/2023,1666.96,1650.96,1678.94,1632.5,397.40K,0.97%
06/14/2023,1650.96,1739.6,1749.9,1636.49,451.13K,-5.10%
06/13/2023,1739.6,1742.6,1763.15,1727.64,303.23K,-0.17%
06-12-2023,1742.6,1752.8,1757.79,1722.92,320.47K,-0.58%
06-11-2023,1752.8,1751.56,1775.87,1740.02,232.04K,0.07%
06-10-2023,1751.56,1840.41,1844.23,1719.16,696.59K,-4.83%
06-09-2023,1840.41,1845.68,1854.72,1828.66,215.71K,-0.29%
06-08-2023,1845.68,1832.1,1860.53,1829.38,202.78K,0.74%
06-07-2023,1832.1,1884.63,1893.73,1823.42,454.83K,-2.76%
06-06-2023,1884.17,1811.19,1895.79,1800.75,518.57K,4.03%
06-05-2023,1811.2,1890,1890.53,1782.82,588.61K,-4.17%
06-04-2023,1890.04,1892.05,1914.12,1884.54,183.07K,-0.11%
06-03-2023,1892.05,1907.1,1907.9,1884.17,157.10K,-0.79%
06-02-2023,1907.1,1861.77,1910.01,1847.84,329.16K,2.43%
06-01-2023,1861.77,1873.62,1888.07,1846.23,286.98K,-0.63%
05/31/2023,1873.63,1900.59,1906.21,1852,337.87K,-1.42%
05/30/2023,1900.59,1892.61,1915.91,1882.97,288.67K,0.42%
05/29/2023,1892.61,1908.37,1925.74,1878.33,338.07K,-0.83%
05/28/2023,1908.35,1829.91,1914.92,1824.7,401.09K,4.29%
05/27/2023,1829.91,1827.8,1835.94,1817.35,147.46K,0.12%
05/26/2023,1827.8,1805.62,1837.39,1798.1,290.89K,1.22%
05/25/2023,1805.69,1799.91,1817.05,1764.92,370.60K,0.32%
05/24/2023,1799.91,1854.08,1854.08,1781.7,441.64K,-2.92%
05/23/2023,1854.08,1817.19,1868.89,1815.41,428.05K,2.03%
05/22/2023,1817.19,1804.89,1827.38,1792.35,250.27K,0.68%
05/21/2023,1804.89,1819.66,1827.47,1799.03,170.05K,-0.81%
